Rank,ShirtNumber,Name,Team,Spikes,Faults,Shots,Total attempts,Success %,Fault %
1,12,Bruno Lima,ARG,177,50,98,325,54.46153846,15.38461538
2,10,Amir Ghafour,IRI,214,59,120,393,54.45292621,15.01272265
3,18,Ricardo Lucarelli Souza,BRA,173,54,91,318,54.40251572,16.98113208
4,10,Sharone Vernon-Evans,CAN,130,32,82,244,53.27868852,13.1147541
5,14,Yuki Ishikawa,JPN,170,40,112,322,52.79503106,12.42236025
6,15,Victor Poletaev,RUS,158,51,94,303,52.14521452,16.83168317
7,20,Gabriele Nelli,ITA,135,36,88,259,52.12355212,13.8996139
8,19,Tsvetan Sokolov,BUL,141,53,77,271,52.0295203,19.55719557
9,9,Yoandy Leal Hidalgo,BRA,161,58,99,318,50.62893082,18.23899371
10,11,Yuji Nishida,JPN,183,69,114,366,50,18.85245902
11,7,Stephen Timothy Maar,CAN,136,47,94,277,49.09747292,16.96750903
12,4,Jean Patry,FRA,148,66,91,305,48.52459016,21.63934426
13,7,Facundo Conte,ARG,138,49,101,288,47.91666667,17.01388889
14,13,Simon Hirsch,GER,170,55,131,356,47.75280899,15.4494382
15,18,Lincoln Alexander Williams,AUS,156,68,103,327,47.70642202,20.79510703
16,1,Christian Fromm,GER,133,40,108,281,47.33096085,14.23487544
17,8,Wallace De Souza,BRA,152,71,110,333,45.64564565,21.32132132
18,2,Milad Ebadipour Ghara H.,IRI,141,39,129,309,45.63106796,12.62135922
19,7,Marco Evan Baptista Ferreira,POR,145,67,106,318,45.59748428,21.06918239
20,2,Chuan Jiang,CHN,152,56,127,335,45.37313433,16.71641791
21,1,Qingyao Dai,CHN,88,24,82,194,45.36082474,12.37113402
22,6,Rozalin Penchev,BUL,107,46,84,237,45.14767932,19.4092827
23,6,Alexandre Ferreira,POR,139,58,111,308,45.12987013,18.83116883
24,15,Luke Smith,AUS,109,29,104,242,45.04132231,11.98347107
25,16,Oleg Antonov,ITA,113,55,86,254,44.48818898,21.65354331
26,7,Purya Fayazi D.,IRI,119,38,117,274,43.43065693,13.86861314
27,18,Garrett Muagututia,USA,119,49,108,276,43.11594203,17.75362319
28,5,Lazar Cirovic,SRB,100,41,99,240,41.66666667,17.08333333
29,2,Federico Pereyra,ARG,79,27,51,157,50.31847134,17.19745223
30,3,Jan Martinez Franchi,ARG,38,12,35,85,44.70588235,14.11764706
31,4,Maximiliano Cavanna,ARG,2,0,1,3,66.66666667,0
32,5,Nicolas Uriarte,ARG,8,1,12,21,38.0952381,4.761904762
33,6,Cristian Poglajen,ARG,59,23,60,142,41.54929577,16.1971831
34,8,Agustin Loser,ARG,50,9,38,97,51.54639175,9.278350515
35,11,Sebastian Solé,ARG,53,9,31,93,56.98924731,9.677419355
36,13,Ezequiel Palacios,ARG,93,24,81,198,46.96969697,12.12121212
37,14,Pablo Crer,ARG,34,7,22,63,53.96825397,11.11111111
38,15,Luciano De Cecco,ARG,7,5,7,19,36.84210526,26.31578947
39,17,Nicolas Mendez,ARG,18,8,24,50,36,16
40,18,Martin Ramos,ARG,56,6,28,90,62.22222222,6.666666667
41,1,Beau Graham,AUS,54,14,33,101,53.46534653,13.86138614
42,2,Arshdeep Dosanjh,AUS,29,3,16,48,60.41666667,6.25
43,7,Harrison Peacock,AUS,0,2,2,4,0,50
44,8,Trent O'dea,AUS,47,10,37,94,50,10.63829787
45,9,Max Staples,AUS,33,11,34,78,42.30769231,14.1025641
46,10,Jordan Richards,AUS,60,27,35,122,49.18032787,22.13114754
47,12,Nehemiah Mote,AUS,13,6,6,25,52,24
48,13,Samuel Walker,AUS,75,38,78,191,39.26701571,19.89528796
49,22,Curtis Jeffrey Arthur Stockton,AUS,60,38,36,134,44.7761194,28.35820896
50,23,James Weir,AUS,27,12,14,53,50.94339623,22.64150943
51,24,Elliott Viles,AUS,7,10,12,29,24.13793103,34.48275862
52,1,Bruno Mossa Rezende,BRA,5,1,6,12,41.66666667,8.333333333
53,2,Isac Santos,BRA,55,8,26,89,61.79775281,8.988764045
54,3,Eder Carbonera,BRA,1,0,0,1,100,0
55,5,Lucas Eduardo Loh,BRA,4,0,1,5,80,0
56,6,Fernando Gil Kreling,BRA,2,0,4,6,33.33333333,0
57,13,Mauricio Luiz De Souza,BRA,44,5,22,71,61.97183099,7.042253521
58,14,Douglas Correia De Souza,BRA,106,29,69,204,51.96078431,14.21568627
59,16,Lucas Saatkamp,BRA,82,12,38,132,62.12121212,9.090909091
60,19,Mauricio Borges Almeida Silva,BRA,20,10,14,44,45.45454545,22.72727273
